SMA50,SMA100,SMA200,总收益,年化收益率,波动率,夏普比率,最大回撤
50,100,210,3.5152869381845075,0.13510033579686564,0.06814974923524093,1.9613744392883599,-0.07245181914616183
50,100,220,3.4935500737600593,0.13463996727898087,0.06790971131965978,1.961873638305376,-0.07245181914616106
50,100,230,3.4895466581717756,0.1345549559363617,0.06743919995432818,1.9739361351791225,-0.07245181914616139
50,100,240,3.4234120758518305,0.13314046619970554,0.0670740304021167,1.9650357065295638,-0.0724518191461615
50,100,250,3.386610367122005,0.13234493871317254,0.06690333990930716,1.958994156932575,-0.07245181914616128
50,110,180,3.5089017330701244,0.13496531346038054,0.06824580978507509,1.9569045738660966,-0.06961140188428461
50,110,190,3.576144342866521,0.1363785297314235,0.06842677283669425,1.9707635732412891,-0.07053677521575641
50,110,200,3.6049863159192004,0.13697887124923724,0.0685068010553283,1.9765342074682575,-0.07053677521575619
50,110,210,3.5647186405014644,0.13613974653551386,0.0683097540121605,1.9708321814750018,-0.07245181914616183
50,110,220,3.5579465959038803,0.13599796057055813,0.06810485137828681,1.9746563204037442,-0.07245181914616083
50,110,230,3.5631683511218943,0.13610730521574155,0.06761763128009579,1.9898708711439685,-0.07245181914616117
50,110,240,3.467071762597403,0.1340764152232623,0.0672860826847351,1.971776200178405,-0.07245181914616106
50,110,250,3.406478556564763,0.1327751771845027,0.06721269634303179,1.9561463010014373,-0.07245181914616117
50,120,180,3.4842188943006915,0.1344417146999375,0.06854127119288594,1.9417839359475055,-0.0696114018842845
50,120,190,3.541021208285989,0.13564274902010354,0.06869832270821032,1.9534700471123934,-0.06961140188428472
50,120,200,3.6082071059991803,0.13704569761524832,0.06875111911941048,1.9706403269115365,-0.06961140188428461
50,120,210,3.609033073093398,0.13706282825068672,0.06853447004699258,1.976880140457367,-0.0696114018842845
50,120,220,3.5982021255157868,0.13683796971750795,0.06835175259498456,1.9789811891536515,-0.06961140188428494
50,120,230,3.5886743182655216,0.13663976390298171,0.06778554981052737,1.9922748861531905,-0.06961140188428427
50,120,240,3.4622720350212433,0.13397393260313795,0.06744175091149288,1.9659906738298363,-0.06961140188428494
50,120,250,3.412719683736567,0.13290995983689746,0.06736181361759491,1.9537956191233385,-0.07033189408097706
60,80,180,3.10744454573603,0.12610309247662732,0.07105269481366976,1.7679878096607473,-0.09093547266968494
60,80,190,3.3188838035978776,0.13086480974009396,0.07119690238047843,1.8259933704300215,-0.09313614804818704
60,80,200,3.297046982461576,0.13038304307119586,0.07113404730561311,1.8213349210131333,-0.09090090676625107
60,80,210,3.2864997226804027,0.13014954446026317,0.0709218776489739,1.8235507214830233,-0.09349874243507172
60,80,220,3.238475105575505,0.1290796619081811,0.07086852328274003,1.8110129912644024,-0.09349874243507217
60,80,230,3.240035847964987,0.12911460597037738,0.07032724312561404,1.8248632826927649,-0.09245058760413194
60,80,240,3.1504823618520357,0.12709023985543144,0.06991264259903004,1.8086607912338888,-0.09505814023370929
60,80,250,3.1461231437770536,0.12699068140191572,0.0692696030455379,1.8234742196432838,-0.098098578810915
60,90,180,3.2251925448059016,0.12878179565793557,0.07089121962340528,1.8065983993322432,-0.08973829148488843
60,90,190,3.4195061809300737,0.1330563222223351,0.07113160403841554,1.8558213263489374,-0.09194186501536838
60,90,200,3.388726115089309,0.1323908392904407,0.0710573512096264,1.8491156902804802,-0.08970368006031992
60,90,210,3.3986563617735452,0.13260600285757262,0.07082997182540131,1.857604465459903,-0.09230026535350666
60,90,220,3.3518591821263595,0.13158810488299566,0.07076267153449563,1.8461287707318979,-0.09230026535350588
60,90,230,3.348382704957471,0.13151208760705213,0.07025653855797183,1.8579276815639658,-0.0929723652319584
60,90,240,3.255688595426217,0.1294644112673926,0.06989247146393424,1.8403741968291067,-0.0939304356401991
60,90,250,3.287870963740877,0.1301799311751024,0.06925991561535906,1.866017465114392,-0.09697466309788527
60,100,180,3.2528753844639233,0.12940162900408225,0.06982451484374408,1.8412643481067505,-0.0897382914848881
60,100,190,3.3368163215292004,0.1312587736690931,0.06996828412149471,1.861969023953762,-0.09194186501536838
60,100,200,3.3731010835374873,0.13205137948062196,0.07007429386607113,1.8696203849788882,-0.08970368006031992
60,100,210,3.3358602917650186,0.13123780810084273,0.06986719902063208,1.864285930550807,-0.09230026535350666
60,100,220,3.3186481910860675,0.13085962354543246,0.06963685880334872,1.8652436601019766,-0.09230026535350588
60,100,230,3.3713219528607867,0.13201265676164908,0.06897667087657182,1.8977479224568763,-0.07868756908017083
60,100,240,3.3113666982695964,0.1306992187608138,0.06866081920206936,1.888633152649834,-0.07958325214849016
60,100,250,3.2630546700629495,0.12962861962308558,0.068567000289892,1.8767989224839638,-0.08423005673156059
60,110,180,3.4493703734671373,0.13369795816662333,0.06969839549378191,1.9009441831413052,-0.0740867529264072
60,110,190,3.5327956363183866,0.1354696816102614,0.06986658202333966,1.9197076725091524,-0.07591212163073235
60,110,200,3.5649729423750554,0.13614506708716023,0.06995142180393403,1.926277033584983,-0.07458042789490182
60,110,210,3.533250797190478,0.1354792657866306,0.06977385999964122,1.9222904536312424,-0.07720763386731089
60,110,220,3.512057332638393,0.1350320640325482,0.06956651907870375,1.9219411689620962,-0.07720763386731122
60,110,230,3.5078929835759354,0.13494396630095018,0.06902789350941478,1.9352311831064521,-0.07720763386731155
60,110,240,3.4185557274702623,0.13303583647414574,0.06874235724600795,1.9176065186468798,-0.0798128391528955
60,110,250,3.360732959152795,0.13178188859677054,0.06857726525214779,1.9053168778938174,-0.08089550521398792
60,120,180,3.4245063670076865,0.13316402810925632,0.06987578767620714,1.8893051912628922,-0.07604614077913374
60,120,190,3.486897277176028,0.13449865892913282,0.0700069513864762,1.9033280194745748,-0.07778440438259382
60,120,200,3.5462725947934084,0.13575308895717297,0.07006328835265216,1.9182060993188017,-0.07645540877458479
60,120,210,3.5686708865415104,0.13622240550959464,0.06986933812864785,1.9294664744521373,-0.07907729179823175
60,120,220,3.5390910125438673,0.1356021631785973,0.06968410183518994,1.9262853597256602,-0.07907729179823142
60,120,230,3.5124163329756204,0.1350396552773525,0.06907062650388762,1.9353404391600593,-0.07907729179823086
60,120,240,3.4034910693553044,0.13271059786811468,0.06876817922823235,1.912582813084085,-0.08167721871036693
60,120,250,3.3611056799361974,0.13179002008995555,0.06859167299487598,1.905038440509834,-0.0826647142066812
